book_id,booking_time,platform,pay_method,trx_status,gross_rev,comm_fee_pct
BKX-241035,2025-07-01 00:46:00,OTA_Trv,Virtual_Account,Success,2500000,0.2
BKX-161265,2025-07-01 00:56:00,OTA_Agd,Virtual_Account,Success,1200000,0.18
BKX-551127,2025-07-01 02:12:00,OTA_Trv,Credit_Card,Success,2500000,0.15
BKX-156467,2025-07-01 02:46:00,OTA_Trv,Virtual_Account,Success,2500000,0.15
BKX-668944,2025-07-01 03:11:00,Direct_Web,Virtual_Account,Success,550000,0.0
BKX-409199,2025-07-01 04:19:00,OTA_Agd,Virtual_Account,Success,550000,0.18
BKX-681190,2025-07-01 04:25:00,OTA_Agd,E-Wallet,Success,2500000,0.15
BKX-758134,2025-07-01 05:14:00,OTA_Trv,Virtual_Account,Success,750000,0.2
BKX-965362,2025-07-01 05:37:00,OTA_Agd,Virtual_Account,Success,1200000,0.15
BKX-408840,2025-07-01 06:48:00,OTA_Agd,E-Wallet,Cancelled,550000,0.2
BKX-151150,2025-07-01 07:21:00,OTA_Agd,Virtual_Account,Success,750000,0.2
BKX-576463,2025-07-01 07:28:00,OTA_Bkg,E-Wallet,Success,750000,0.15
BKX-650337,2025-07-01 07:54:00,OTA_Agd,E-Wallet,Success,1200000,0.18
BKX-587043,2025-07-01 07:55:00,OTA_Bkg,Virtual_Account,Success,2500000,0.18
BKX-476276,2025-07-01 09:35:00,OTA_Agd,Credit_Card,Cancelled,550000,0.15
BKX-540110,2025-07-01 11:34:00,OTA_Trv,E-Wallet,Success,2500000,0.2
BKX-566401,2025-07-01 11:52:00,OTA_Bkg,E-Wallet,Success,2500000,0.15
BKX-145693,2025-07-01 12:19:00,OTA_Trv,Credit_Card,Success,750000,0.2
BKX-679502,2025-07-01 14:04:00,OTA_Trv,Virtual_Account,Success,750000,0.18
BKX-159668,2025-07-01 15:11:00,OTA_Trv,Credit_Card,Success,1200000,0.18
BKX-172613,2025-07-01 15:38:00,OTA_Trv,E-Wallet,Success,2500000,0.15
